2019-11-23 00:01:05 configure libpython2.7-minimal:amd64 2.7.16-2+deb10u1 <none>
2019-11-23 00:01:05 status unpacked libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2019-11-23 00:01:05 status half-configured libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2019-11-23 00:01:05 status installed libpython2.7-minimal:amd64 2.7.16-2+deb10u1
2019-11-23 00:01:05 configure python2.7-minimal:amd64 2.7.16-2+deb10u1 <none>
2019-11-23 00:01:05 status unpacked python2.7-minimal:amd64 2.7.16-2+deb10u1
2019-11-23 00:01:05 status half-configured python2.7-minimal:amd64 2.7.16-2+deb10u1
2019-11-23 00:01:06 status installed python2.7-minimal:amd64 2.7.16-2+deb10u1
2019-11-23 00:01:06 configure python2-minimal:amd64 2.7.16-1 <none>
2019-11-23 00:01:06 status unpacked python2-minimal:amd64 2.7.16-1
2019-11-23 00:01:06 status half-configured python2-minimal:amd64 2.7.16-1
2019-11-23 00:01:06 status installed python2-minimal:amd64 2.7.16-1
2019-11-23 00:01:06 startup archives unpack
2019-11-23 00:01:06 install python2:amd64 <none> 2.7.16-1
2019-11-23 00:01:06 status half-installed python2:amd64 2.7.16-1
2019-11-23 00:01:06 status unpacked python2:amd64 2.7.16-1
2019-11-23 00:01:06 startup packages configure
2019-11-23 00:01:06 configure python-minimal:amd64 2.7.16-1 <none>
2019-11-23 00:01:06 status unpacked python-minimal:amd64 2.7.16-1
2019-11-23 00:01:06 status half-configured python-minimal:amd64 2.7.16-1
2019-11-23 00:01:06 status installed python-minimal:amd64 2.7.16-1
2019-11-23 00:01:06 startup archives unpack
2019-11-23 00:01:06 install python:amd64 <none> 2.7.16-1
2019-11-23 00:01:06 status half-installed python:amd64 2.7.16-1
2019-11-23 00:01:06 status unpacked python:amd64 2.7.16-1
2019-11-23 00:01:06 install libncurses6:amd64 <none> 6.1+20181013-2+deb10u2
2019-11-23 00:01:06 status half-installed libncurses6:amd64 6.1+20181013-2+deb10u2
